Les 387 ventes d'appartements d' Ermont (95) sur la période du 2017-07-01 au 2019-06-30 (Notaires de France - base de données PERVAL);;;;;;;;;
;;;;;;;;;
Montant;Surface;Nombre de pièces;Construction;Garage;DPE;GES;Etage;Cave;Terrasse / balcon
155 000 €;74 m²;4;1948 / 1969;-;-;-;1;Oui;-
284 748 €;-;3;2011 / 2020;Oui;-;-;0;Non;Oui
150 000 €;64 m²;4;-;Non;D;E;2;Oui;Oui
205 000 €;67 m²;3;1970 / 1980;Oui;-;-;2;Oui;Oui
268 000 €;-;3;-;Oui;-;-;-;Oui;Oui
200 000 €;-;2;-;Oui;-;-;3;Non;Oui
213 000 €;74 m²;4;1948 / 1969;Oui;E;F;4;Oui;Non
150 000 €;52 m²;2;1981 / 1991;Oui;D;D;0;Non;Non
280 000 €;61 m²;3;-;Oui;B;C;0;Non;Non
171 000 €;39 m²;2;1992 / 2000;Oui;E;C;3;Non;Oui
176 880 €;85 m²;4;1981 / 1991;Oui;-;-;4;Non;-
265 000 €;58 m²;3;2011 / 2020;Oui;-;-;4;Non;Oui
214 000 €;87 m²;4;-;Oui;D;C;2;Non;Non
166 500 €;50 m²;2;-;Oui;D;B;2;Non;-
233 315 €;63 m²;3;2011 / 2020;Oui;B;C;1;Non;Oui
170 000 €;60 m²;3;-;Oui;E;F;2;Oui;Non
257 149 €;62 m²;3;2011 / 2020;Oui;-;-;0;Non;Oui
190 000 €;58 m²;2;-;Non;E;C;1;Oui;Oui
264 060 €;-;3;2011 / 2020;Oui;-;-;4;Non;Oui
255 192 €;-;3;2011 / 2020;Oui;-;-;1;Non;-
262 090 €;-;3;2011 / 2020;Oui;-;-;3;Non;Oui
180 000 €;64 m²;3;-;Non;-;-;1;Oui;-
155 000 €;67 m²;3;-;Non;-;-;0;Oui;-
197 000 €;85 m²;4;-;Oui;C;D;5;Non;Oui
312 000 €;68 m²;3;2011 / 2020;Oui;-;-;3;Non;Oui
230 000 €;46 m²;2;2011 / 2020;Oui;-;-;4;Non;Oui
210 852 €;-;2;2011 / 2020;Oui;-;-;3;Non;Oui
247 311 €;50 m²;2;2011 / 2020;Oui;-;-;5;Non;Oui
185 000 €;69 m²;3;1970 / 1980;Non;D;E;3;Oui;Non
140 000 €;48 m²;2;-;Oui;-;-;3;Non;-
142 000 €;48 m²;2;1948 / 1969;Oui;-;-;4;Non;Non
245 000 €;72 m²;3;1970 / 1980;Oui;E;B;1;Oui;Oui
302 000 €;89 m²;4;1981 / 1991;Oui;D;B;1;Non;Oui
303 999 €;68 m²;3;2011 / 2020;Oui;-;-;2;Non;Oui
206 000 €;60 m²;3;1948 / 1969;Oui;E;F;1;Oui;Non
197 000 €;63 m²;3;-;Oui;D;B;3;Non;Oui
117 000 €;36 m²;1;1970 / 1980;Oui;C;D;0;Oui;Non
222 000 €;48 m²;2;2011 / 2020;Oui;-;-;2;Non;Oui
282 000 €;62 m²;3;2011 / 2020;Oui;-;-;3;Non;Oui
90 000 €;28 m²;1;1981 / 1991;Oui;D;E;1;Non;Non
204 000 €;65 m²;3;1981 / 1991;Oui;E;G;3;Non;Oui
246 000 €;70 m²;4;1948 / 1969;Oui;F;D;0;Oui;-
173 000 €;67 m²;3;1970 / 1980;Oui;D;E;6;Non;Non
213 000 €;55 m²;2;-;Oui;E;C;3;Oui;Oui
170 000 €;51 m²;2;1981 / 1991;Oui;E;C;1;Non;Oui
215 000 €;79 m²;4;1981 / 1991;Oui;D;C;2;Non;Non
240 000 €;70 m²;3;-;Oui;D;B;2;Non;Non
204 999 €;45 m²;2;2011 / 2020;Oui;-;-;1;Non;Oui
150 000 €;60 m²;3;1948 / 1969;Oui;F;F;3;Oui;Non
232 000 €;106 m²;5;-;Oui;B;C;5;Oui;Non
385 000 €;92 m²;4;-;Oui;B;C;4;Non;Oui
330 000 €;85 m²;4;-;Oui;D;E;3;Oui;Non
174 000 €;84 m²;4;-;Oui;C;D;1;Non;Oui
128 000 €;30 m²;1;1992 / 2000;Oui;E;C;4;Non;Oui
100 000 €;55 m²;2;-;Non;C;D;3;Non;Non
235 500 €;61 m²;3;2001 / 2010;Oui;C;D;2;Oui;Oui
217 560 €;46 m²;2;2011 / 2020;Oui;-;-;2;Non;Oui
225 999 €;46 m²;2;2011 / 2020;Oui;-;-;2;Non;Oui
197 500 €;38 m²;2;-;Oui;B;C;3;Non;Oui
305 000 €;86 m²;4;-;Oui;-;-;-;Oui;-
190 000 €;68 m²;3;-;Non;D;E;2;Non;-
245 000 €;58 m²;3;2011 / 2020;Oui;-;-;1;Oui;Oui
216 600 €;68 m²;3;-;Oui;D;E;1;Oui;Oui
216 000 €;78 m²;4;-;Oui;E;F;2;Oui;Non
161 000 €;56 m²;3;1948 / 1969;Non;E;F;1;Oui;Non
160 000 €;73 m²;4;1970 / 1980;Oui;-;-;1;Oui;Non
172 000 €;67 m²;4;1948 / 1969;Non;D;E;4;Oui;Non
